Product,Quantity,Price
Pepsi Diet Pet,500 ml,৳ 35
Coca-Cola,600 ml,৳ 40
Coca-Cola,1.25 ltr,৳ 70
Coke Light Can,250 ml,৳ 40
Coca-Cola Can,250 ml,৳ 40
Coca-Cola,2.25 ltr,৳ 110
Sprite,600 ml,৳ 35
7 Up Pet,1 ltr,৳ 50
Mountain Dew,1 ltr,৳ 50
Mountain Dew,400 ml,৳ 30
Sprite,1.25 ltr,৳ 65
Pepsi Pet,2 ltr,৳ 100
Sprite,2.25 ltr,৳ 110
Pepsi,500 ml,৳ 30
Pepsi Pet,1 ltr,৳ 50
7 Up Pet,500 ml,৳ 35
Fanta,1.25 ltr,৳ 65
Pepsi Diet Can,250 ml,৳ 40
Sprite Can,250 ml,৳ 40
Fresh Club 9 Soda,500 ml,৳ 30
Fanta,600 ml,৳ 35
Amul Lassi,250 ml,৳ 100
Fresh Mejanda,250 ml,৳ 15
7 Up Can,250 ml,৳ 40
Mirinda Orange,500 ml,৳ 35
Amul Pinacolada Mocktail Can,200 ml,৳ 125
Mirinda Orange,1 ltr,৳ 50
Mountain Dew Can,250 ml,৳ 40
Fanta Can,250 ml,৳ 40
Frutika Mango Juice,1 ltr,৳ 80
Mirinda Can,250 ml,৳ 40
Pepsi Can,250 ml,৳ 40
Fresh Dhoom Cola,1 ltr,৳ 50
Sharbat-E-Ala,750 ml,৳ 300
Sharbat-E-Ala,300 ml,৳ 170
7 Up Can,320 ml,৳ 150
Fanta Strawberry Can,320 ml,৳ 140
Pran Up,500 ml,৳ 25
Pran Up,1 ltr,৳ 50
Fresh Soul Up,250 ml,৳ 15
Wings Lemon,1 ltr,৳ 50
Wings Lemon,500 ml,৳ 25
Clemon Can,250 ml,৳ 25
Dolphin Nata De Coco Lychee Drink,350 ml,৳ 125
Basil Seed Drink (Mixed Fruit),290 ml,৳ 105
Basil Seed Drink (Lemon),290 ml,৳ 105
Basil Seed Drink (Pineapple),290 ml,৳ 110
Basil Seed Drink (Lychee),290 ml,৳ 105
Basil Seed Drink (Mango),290 ml,৳ 105
Basil Seed Drink (Orange),290 ml,৳ 105
