product,price
Pepsi Diet Pet,৳ 35
Coca-Cola,৳ 40
Coca-Cola,৳ 70
Coke Light Can,৳ 40
Coca-Cola Can,৳ 40
Coca-Cola,৳ 110
Sprite,৳ 35
Mountain Dew,৳ 30
7 Up Pet,৳ 50
Mountain Dew,৳ 50
Sprite,৳ 65
Pepsi Pet,৳ 100
Sprite,৳ 110
Pepsi,৳ 30
Pepsi Pet,৳ 50
7 Up Pet,৳ 35
Fanta,৳ 65
Pepsi Diet Can,৳ 40
Sprite Can,৳ 40
Fresh Club 9 Soda,৳ 30
Fanta,৳ 35
Amul Lassi,৳ 100
Fresh Mejanda,৳ 15
7 Up Can,৳ 40
Mirinda Orange,৳ 35
Amul Pinacolada Mocktail Can,৳ 125
Mirinda Orange,৳ 50
Mountain Dew Can,৳ 40
Sprite Zero Sugar,৳ 20
Fanta Can,৳ 40
Frutika Mango Juice,৳ 80
Mirinda Can,৳ 40
Pepsi Can,৳ 40
Fresh Dhoom Cola,৳ 50
Sharbat-E-Ala,৳ 300
Sharbat-E-Ala,৳ 170
7 Up Can,৳ 150
Fanta Strawberry Can,৳ 140
Pran Up,৳ 25
Pran Up,৳ 50
Fresh Soul Up,৳ 15
Wings Lemon,৳ 50
Wings Lemon,৳ 25
Clemon Can,৳ 25
Dolphin Nata De Coco Lychee Drink,৳ 125
Basil Seed Drink (Mixed Fruit),৳ 105
Basil Seed Drink (Lemon),৳ 105
Basil Seed Drink (Pineapple),৳ 110
Basil Seed Drink (Lychee),৳ 105
Basil Seed Drink (Mango),৳ 105
